,standard_negation,local_negation,contradiction,paraphrase
K-intelligence__Midm-2.0-Base-Instruct,0,0,0,0
K-intelligence__Midm-2.0-Mini-Instruct,0,0,0,0
LGAI-EXAONE__EXAONE-4.0-1.2B,0,0,0,0
LGAI-EXAONE__EXAONE-4.0-32B,0,0,0,0
LGAI-EXAONE__EXAONE-Deep-2.4B,0,0,0,0
LGAI-EXAONE__EXAONE-Deep-32B,0,0,0,0
LGAI-EXAONE__EXAONE-Deep-7.8B,0,0,0,0
Qwen__Qwen3-0.6B-Base,0,0,0,0
Qwen__Qwen3-1.7B,0,0,0,0
Qwen__Qwen3-1.7B-Base,0,0,0,0
Qwen__Qwen3-14B,0,0,0,0
Qwen__Qwen3-14B-Base,0,0,0,0
Qwen__Qwen3-4B,0,0,0,0
Qwen__Qwen3-4B-Base,0,0,0,0
Qwen__Qwen3-8B,0,0,0,0
Qwen__Qwen3-8B-Base,0,0,0,0
claude-haiku-4-5-20251001,1191,79,11,3
claude-sonnet-4-5-20250929,1259,18,7,0
gpt-4.1-mini,1066,198,16,4
kakaocorp__kanana-1.5-2.1b-base,0,0,0,0
kakaocorp__kanana-1.5-2.1b-instruct-2505,0,0,0,0
kakaocorp__kanana-1.5-8b-base,0,0,0,0
meta-llama__Llama-3.1-70B,0,0,0,0
meta-llama__Llama-3.1-70B-Instruct,0,0,0,0
meta-llama__Llama-3.1-8B,0,0,0,0
meta-llama__Llama-3.1-8B-Instruct,0,0,0,0
meta-llama__Llama-3.2-1B,0,0,0,0
meta-llama__Llama-3.2-1B-Instruct,0,0,0,0
meta-llama__Llama-3.2-3B,0,0,0,0
meta-llama__Llama-3.2-3B-Instruct,0,0,0,0
mistralai__Mistral-7B-Instruct-v0.3,0,0,0,0
mistralai__Mistral-7B-v0.3,0,0,0,0
mistralai__Mistral-Nemo-Base-2407,0,0,0,0
mistralai__Mistral-Nemo-Instruct-2407,0,0,0,0
mistralai__Mistral-Small-24B-Base-2501,0,0,0,0
mistralai__Mistral-Small-24B-Instruct-2501,0,0,0,0
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B,0,0,0,0
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B,0,0,0,0
naver-hyperclovax__HyperCLOVAX-SEED-Think-14B,0,0,0,0
skt__A.X-4.0,0,0,0,0
skt__A.X-4.0-Light,0,0,0,0
skt__ko-gpt-trinity-1.2B-v0.5,0,0,0,0
upstage__SOLAR-10.7B-Instruct-v1.0,0,0,0,0
upstage__SOLAR-10.7B-v1.0,0,0,0,0
