,standard_negation,local_negation,contradiction,paraphrase
K-intelligence__Midm-2.0-Base-Instruct,786,470,22,6
K-intelligence__Midm-2.0-Mini-Instruct,719,499,51,15
LGAI-EXAONE__EXAONE-4.0-1.2B,370,788,94,32
LGAI-EXAONE__EXAONE-4.0-32B,644,617,20,3
LGAI-EXAONE__EXAONE-Deep-2.4B,459,738,63,24
LGAI-EXAONE__EXAONE-Deep-32B,749,499,26,10
LGAI-EXAONE__EXAONE-Deep-7.8B,719,528,29,8
Qwen__Qwen3-0.6B-Base,500,746,26,12
Qwen__Qwen3-1.7B,665,576,32,11
Qwen__Qwen3-1.7B-Base,774,481,23,6
Qwen__Qwen3-14B,593,651,30,10
Qwen__Qwen3-14B-Base,800,456,20,8
Qwen__Qwen3-4B,585,665,25,9
Qwen__Qwen3-4B-Base,833,421,21,9
Qwen__Qwen3-8B,592,648,31,13
Qwen__Qwen3-8B-Base,723,532,21,8
claude-haiku-4-5-20251001,0,0,0,0
claude-sonnet-4-5-20250929,0,0,0,0
gpt-4.1-mini,0,0,0,0
kakaocorp__kanana-1.5-2.1b-base,616,630,24,14
kakaocorp__kanana-1.5-2.1b-instruct-2505,796,448,31,9
kakaocorp__kanana-1.5-8b-base,559,700,15,10
meta-llama__Llama-3.1-70B,693,564,21,6
meta-llama__Llama-3.1-70B-Instruct,617,633,28,6
meta-llama__Llama-3.1-8B,508,723,35,18
meta-llama__Llama-3.1-8B-Instruct,462,753,50,19
meta-llama__Llama-3.2-1B,480,755,35,14
meta-llama__Llama-3.2-1B-Instruct,457,755,55,17
meta-llama__Llama-3.2-3B,558,687,24,15
meta-llama__Llama-3.2-3B-Instruct,493,725,48,18
mistralai__Mistral-7B-Instruct-v0.3,811,443,22,8
mistralai__Mistral-7B-v0.3,631,615,29,9
mistralai__Mistral-Nemo-Base-2407,608,631,35,10
mistralai__Mistral-Nemo-Instruct-2407,675,561,36,12
mistralai__Mistral-Small-24B-Base-2501,737,515,25,7
mistralai__Mistral-Small-24B-Instruct-2501,731,533,17,3
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B,451,782,32,19
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B,464,763,43,14
naver-hyperclovax__HyperCLOVAX-SEED-Think-14B,585,685,10,4
skt__A.X-4.0,948,308,19,9
skt__A.X-4.0-Light,887,351,33,13
skt__ko-gpt-trinity-1.2B-v0.5,412,745,93,34
upstage__SOLAR-10.7B-Instruct-v1.0,787,462,25,10
upstage__SOLAR-10.7B-v1.0,520,718,36,10
