,standard_negation,local_negation,contradiction,paraphrase
K-intelligence__Midm-2.0-Base-Instruct,764,264,160,96
K-intelligence__Midm-2.0-Mini-Instruct,710,337,74,163
LGAI-EXAONE__EXAONE-4.0-1.2B,340,346,293,305
LGAI-EXAONE__EXAONE-4.0-32B,1046,216,14,8
LGAI-EXAONE__EXAONE-Deep-2.4B,516,389,102,277
LGAI-EXAONE__EXAONE-Deep-32B,920,280,34,50
LGAI-EXAONE__EXAONE-Deep-7.8B,560,307,126,291
Qwen__Qwen3-0.6B-Base,662,380,77,165
Qwen__Qwen3-1.7B,976,221,22,65
Qwen__Qwen3-1.7B-Base,830,301,35,118
Qwen__Qwen3-14B,1162,94,22,6
Qwen__Qwen3-14B-Base,1137,110,27,10
Qwen__Qwen3-4B,1033,218,19,14
Qwen__Qwen3-4B-Base,1055,189,29,11
Qwen__Qwen3-8B,960,281,25,18
Qwen__Qwen3-8B-Base,1097,160,15,12
claude-haiku-4-5-20251001,0,0,0,0
claude-sonnet-4-5-20250929,0,0,0,0
gpt-4.1-mini,0,0,0,0
kakaocorp__kanana-1.5-2.1b-base,579,303,85,317
kakaocorp__kanana-1.5-2.1b-instruct-2505,737,348,60,139
kakaocorp__kanana-1.5-8b-base,559,227,127,371
meta-llama__Llama-3.1-70B,983,233,27,41
meta-llama__Llama-3.1-70B-Instruct,1039,215,15,15
meta-llama__Llama-3.1-8B,689,317,73,205
meta-llama__Llama-3.1-8B-Instruct,733,365,57,129
meta-llama__Llama-3.2-1B,336,335,294,319
meta-llama__Llama-3.2-1B-Instruct,430,332,162,360
meta-llama__Llama-3.2-3B,667,459,68,90
meta-llama__Llama-3.2-3B-Instruct,792,382,47,63
mistralai__Mistral-7B-Instruct-v0.3,936,264,21,63
mistralai__Mistral-7B-v0.3,601,251,98,334
mistralai__Mistral-Nemo-Base-2407,657,397,68,162
mistralai__Mistral-Nemo-Instruct-2407,835,416,22,11
mistralai__Mistral-Small-24B-Base-2501,918,234,86,46
mistralai__Mistral-Small-24B-Instruct-2501,1050,191,34,9
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B,676,378,66,164
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B,598,324,161,201
naver-hyperclovax__HyperCLOVAX-SEED-Think-14B,1002,199,42,41
skt__A.X-4.0,1229,48,4,3
skt__A.X-4.0-Light,1090,164,10,20
skt__ko-gpt-trinity-1.2B-v0.5,338,293,329,324
upstage__SOLAR-10.7B-Instruct-v1.0,702,453,68,61
upstage__SOLAR-10.7B-v1.0,539,334,106,305
