file,data_id,idx,sentence,안 단형,안 장형,못 단형,못 장형,말다 부정,관형절,부사절,명사절,인용절,종속절,주절,확인형,note
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,37,그렇게 들지 말게 해주셨으면 좋을 것 같아요.,[],[],[],[],['렇게 들지 말게 해주'],0,1,0,0,0,0,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,48,○ <NAME> 위원장님 제가 얘기하는 취지 이해 안 하시나요?,['지 이해 안 하시나요'],[],[],[],[],0,0,0,0,0,1,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,51,이해 못 하는 바 아니고 … 불구하고 이 자리 특별위원회라고 하는 것의 다양한 주제가 있습니다.,[],[],['이해 못 하는 바'],[],[],1,0,0,0,0,0,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,61,○ <NAME> 위원:아직 해본 적이 없는 걸로 하고 그런 사례가 발생하지 않은 것과는 다른 문제입니다.,[],['발생하지 않은 것과'],[],[],[],1,0,0,0,0,0,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,79,보수적인 집단이라고 하는 것은 자기가 하는 것에 대해서 잘 적응하지 못합니다.,[],[],[],['적응하지 못합니다.'],[],0,0,0,0,0,1,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,80,적응하지 못하는 측면도 있고 적응하려고 가지 않는 측면이 있고.,[],['려고 가지 않는 측면'],[],['적응하지 못하는 측'],[],2,0,0,0,0,0,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,84,"사회가 이만큼 변화는 거기에 맞게끔, 사회 구성원들은 이만큼의 변화와 그 정도를 이해는 정도의 준비 상태인데 변화된 것들을 못 받아들이는 것이 아니냐.",[],[],['것들을 못 받아들이'],[],[],1,0,0,0,0,0,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,97,"○ <NAME> 위원:그런 교사 집단의 자존심을 건드리지 않는 선에서 이 점에 관해서 좀 고민해야, 이 부분에 초점을 찍고 고민해야 되는 거가 아닌가 이런 생각이 들고요.",[],['건드리지 않는 선에'],[],[],[],1,0,0,0,0,0,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,110,간사님은 원래 그렇게 안 하는 거예요.,['그렇게 안 하는 거'],[],[],[],[],1,0,0,0,0,0,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,112,○위원장 <NAME> :더 이상 질의할 위원님이 못 계신 것 같습니다.,[],[],['위원님이 못 계신 것'],[],[],1,0,0,0,0,0,0,
spoken_data_36553.json,663f2aa1-cbd0-4eda-ab7e-fa00a696aa21,121,일단 자료만 받아서 그분들 참석시킬지 말지는 그걸 잘 판단하게.,[],[],[],[],['참석시킬지 말지는 그'],0,0,1,0,0,0,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,245,그러나 현실은 그러지 못하기에 본 의원이 이 자리에 왔습니다.,[],[],[],['은 그러지 못하기에'],[],0,0,0,0,1,0,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,246,우리 경기도 남부는 10개 시군의 행정구역 면적은 남부지역 21개 시군 대비 72%를 차지하고 이고지만 북부소방재난본부 산하의 청사 규모는 남부지역의 43%밖에 미치지 못하고 있습니다.,[],[],[],['에 미치지 못하고 있'],[],0,0,0,0,0,1,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,253,우리에 예상하지 못했던 새로운 유형의 안전사고가 나타나고 그렇기 때문에 방재분야도 신속이 대처하는 시대는 지나갔습니다.,[],[],[],['예상하지 못했던 새'],[],1,0,0,0,0,0,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,261,본 의원은 계속되는 소방공무원의 순직사고에 대해서는 진심으로 안타까움을 나누며 다시는 이 같은 일이 되풀이되지 못하도록 하기 위해서라도 각 시군에서 사용하는 재난관리 기금의 활성화 방법을 함께 모색하고자 합니다.,[],[],[],['되풀이되지 못하도록'],[],0,1,0,0,0,0,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,265,소방공무원 인적자원 부족은 도지사님께서 충분히 고민하시고 계시므로 이는 더 이상 언급은 하지 않겠습니다.,[],['급은 하지 않겠습니다'],[],[],[],0,0,0,0,0,1,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,274,2013은 그동안 재난관리 기금이 어떻게 사용됐는지 살펴보면 재난관리 기금은 각 시군에서 자연재난으로 인한 재난 시설의 복구 및 보강사업 등 복구에만 치중 사용하였으며 현실적으로 지자체는 인적재난이나 재난대응에 직접적으로 사용할 수 있는 근거가 마련되어 있지 못하아 소방 장비 등을 확보하는 데는 재난관리 자금으로 사용하지 못했습니다.,[],[],[],"['되어 있지 못하아 소', '사용하지 못했습니다']",[],0,1,0,0,0,1,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,282,두 의원이 시간 관계상 제안하지 못하는 것은 속기록에 넣어주시기 바랍니다.,[],[],[],['제안하지 못하는 것'],[],1,0,0,0,0,0,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,294,이을 외면하지 않는 공공의료기관으로서 다시 태어나기 위해서 고심해야 할 과제가 아닌가 생각합니다.,[],['외면하지 않는 공공'],[],[],[],1,0,0,0,0,0,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,351,현시대에 맞지 않는 장학사의 교육을을 재구조화하여 학교 현장의 문제에 발 벗고 나설 수 있도록 지속적으로 노력하겠습니다.,[],['대에 맞지 않는 장학'],[],[],[],1,0,0,0,0,0,0,
spoken_data_36553.json,f8c16b2b-b719-4dbe-8773-bb966826a8d8,391,"저는 내년으로 남은 재임 기간 동안 경기도 교육청 선생님, 학부모님 모두 염원하는 좋은 교육의 꿈이 헛되지 않도록 전력을 다해 노력하겠습니다.",[],['이 헛되지 않도록 전'],[],[],[],0,1,0,0,0,0,0,
