,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-easy,thunderllm-snu-ko-arc-easy,winogrande,winogrande
,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm
model,,,,,,,,,,,,,,,,,,,,,,,,
K-intelligence__Midm-2.0-Base-Instruct,0.576792,0.615188,0.860690,0.844697,0.609739,0.804023,0.616997,0.616997,0.737769,0.737769,0.612150,0.661215,0.595794,0.595794,0.920940,,0.772792,0.519231,0.000000,0.000000,0.000000,0.000000,0.734017,
K-intelligence__Midm-2.0-Mini-Instruct,0.463311,0.504266,0.782828,0.784933,0.524497,0.702450,0.631395,0.631395,0.634610,0.634610,0.559969,0.604361,0.553738,0.553738,0.873219,,0.681624,0.519231,0.000000,0.000000,0.000000,0.000000,0.667719,
LGAI-EXAONE__EXAONE-4.0-1.2B,0.215017,0.246587,0.336700,0.330387,0.286895,0.311492,0.509645,0.509645,0.500839,0.500839,0.288162,0.321651,0.264798,0.264798,0.514245,,0.484330,0.519231,0.000000,0.000000,0.000000,0.000000,0.501184,
LGAI-EXAONE__EXAONE-4.0-32B,0.546928,0.571672,0.821549,0.795875,0.562139,0.742979,0.753984,0.753984,0.741963,0.741963,0.501558,0.518692,0.815421,0.815421,0.811254,,0.527778,0.519231,0.554413,0.610968,0.784933,0.792088,0.691397,
LGAI-EXAONE__EXAONE-Deep-2.4B,0.352389,0.383959,0.598906,0.543350,0.425314,0.551882,0.478334,0.478334,0.536483,0.536483,0.357477,0.432243,0.402648,0.402648,0.509972,,0.482194,0.519231,0.000000,0.000000,0.000000,0.000000,0.546961,
LGAI-EXAONE__EXAONE-Deep-32B,0.461604,0.488055,0.726852,0.715067,0.529576,0.702151,0.565558,0.565558,0.658653,0.658653,0.583333,0.601246,0.717290,0.717290,0.853989,,0.682336,0.519231,0.494430,0.534704,0.707912,0.725168,0.664562,
LGAI-EXAONE__EXAONE-Deep-7.8B,0.404437,0.437713,0.675505,0.649832,0.476598,0.636029,0.485602,0.485602,0.562902,0.562902,0.559969,0.593458,0.436916,0.436916,0.695869,,0.489316,0.519231,0.000000,0.000000,0.000000,0.000000,0.577743,
Qwen__Qwen3-0.6B-Base,0.337884,0.379693,0.654882,0.578704,0.411073,0.535849,0.568633,0.568633,0.541935,0.541935,0.389408,0.413551,0.516355,0.516355,0.520655,,0.492165,0.519231,0.000000,0.000000,0.000000,0.000000,0.591160,
Qwen__Qwen3-1.7B,0.401024,0.428328,0.720960,0.696970,0.460765,0.603864,0.571848,0.571848,0.607772,0.607772,0.517913,0.548287,0.760903,0.760903,0.519231,,0.486467,0.519231,0.000000,0.000000,0.000000,0.000000,0.617206,
Qwen__Qwen3-1.7B-Base,0.414676,0.448805,0.733586,0.683081,0.493926,0.665405,0.549483,0.549483,0.620352,0.620352,0.602804,0.648754,0.647196,0.647196,0.616809,,0.487179,0.519231,0.000000,0.000000,0.000000,0.000000,0.644041,
Qwen__Qwen3-14B,0.587031,0.601536,0.841330,0.828283,0.609839,0.789385,0.754962,0.754962,0.701845,0.701845,0.461838,0.478972,0.905763,0.905763,0.640313,,0.540598,0.519231,0.000000,0.000000,0.000000,0.000000,0.730071,
Qwen__Qwen3-14B-Base,0.558020,0.590444,0.835438,0.819865,0.618204,0.813882,0.763209,0.763209,0.690103,0.690103,0.623053,0.658100,0.886293,0.886293,0.677350,,0.507835,0.519231,0.000000,0.000000,0.000000,0.000000,0.740331,
Qwen__Qwen3-4B,0.502560,0.536689,0.807239,0.785354,0.521609,0.683828,0.595331,0.595331,0.658932,0.658932,0.455607,0.476636,0.805296,0.805296,0.535613,,0.481481,0.519231,0.000000,0.000000,0.000000,0.000000,0.659037,
Qwen__Qwen3-4B-Base,0.476962,0.514505,0.788300,0.757576,0.545708,0.737104,0.701566,0.701566,0.690523,0.690523,0.648754,0.678349,0.822430,0.822430,0.636752,,0.488604,0.519231,0.000000,0.000000,0.000000,0.000000,0.704815,
Qwen__Qwen3-8B,0.558020,0.563140,0.834596,0.808502,0.571101,0.749154,0.687867,0.687867,0.707576,0.707576,0.461059,0.476636,0.748442,0.748442,0.611823,,0.488604,0.519231,0.000000,0.000000,0.000000,0.000000,0.676401,
Qwen__Qwen3-8B-Base,0.524744,0.567406,0.817761,0.802609,0.589126,0.785700,0.735952,0.735952,0.727146,0.727146,0.563084,0.605140,0.855140,0.855140,0.571937,,0.480057,0.519231,0.000000,0.000000,0.000000,0.000000,0.726914,
kakaocorp__kanana-1.5-2.1b-base,0.474403,0.505973,0.776936,0.783249,0.496515,0.660426,0.573525,0.573525,0.640481,0.640481,0.479751,0.500779,0.451713,0.451713,0.547721,,0.485043,0.519231,0.000000,0.000000,0.000000,0.000000,0.638516,
kakaocorp__kanana-1.5-2.1b-instruct-2505,0.472696,0.500853,0.779882,0.739057,0.508365,0.668990,0.645373,0.645373,0.668297,0.668297,0.619938,0.646417,0.574766,0.574766,0.663818,,0.514957,0.519231,0.000000,0.000000,0.000000,0.000000,0.629834,
