,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_api,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol
,1shot,1shot,1shot,1shot,1shot,1shot,1shot,1shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot,1shot,1shot,1shot,1shot,1shot,1shot,1shot,1shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot,1shot,1shot,1shot,1shot,1shot,1shot,1shot,1shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot
,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average
,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-intelligence__Midm-2.0-Base-Instruct,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740654,0.772586,0.728972,0.756231,0.729751,0.748442,0.733126,0.759086,0.799844,0.815421,0.800623,0.817757,0.797508,0.813863,0.799325,0.815680,0.857477,0.867601,0.841900,0.859813,0.859813,0.872274,0.853063,0.866563,0.876947,0.893302,0.883956,0.892523,0.885514,0.901090,0.882139,0.895639,0.725857,0.725857,0.721184,0.721184,0.719626,0.719626,0.722222,0.722222,0.754673,0.754673,0.750000,0.750000,0.738318,0.738318,0.747664,0.747664,0.814642,0.814642,0.802181,0.802181,0.805296,0.805296,0.807373,0.807373,0.827103,0.827103,0.834891,0.834891,0.827882,0.827882,0.829958,0.829958
K-intelligence__Midm-2.0-Mini-Instruct,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.676012,0.708723,0.669003,0.697819,0.664330,0.693146,0.669782,0.699896,0.757788,0.780374,0.742991,0.768692,0.742991,0.767134,0.747923,0.772066,0.818536,0.835670,0.822430,0.838006,0.821651,0.845794,0.820872,0.839823,0.862928,0.881620,0.850467,0.864486,0.852025,0.870717,0.855140,0.872274,0.659657,0.659657,0.653427,0.653427,0.637850,0.637850,0.650312,0.650312,0.691589,0.691589,0.692368,0.692368,0.691589,0.691589,0.691848,0.691848,0.693146,0.693146,0.685358,0.685358,0.681464,0.681464,0.686656,0.686656,0.709502,0.709502,0.711059,0.711059,0.705607,0.705607,0.708723,0.708723
LGAI-EXAONE__EXAONE-4.0-1.2B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.389408,0.447040,0.383956,0.440810,0.385514,0.435358,0.386293,0.441070,0.441589,0.496106,0.440031,0.489097,0.430685,0.486760,0.437435,0.490654,0.552960,0.608255,0.533489,0.591121,0.565421,0.607477,0.550623,0.602285,0.620717,0.655763,0.616044,0.665109,0.612928,0.651869,0.616563,0.657580,0.285047,0.285047,0.290498,0.290498,0.301402,0.301402,0.292316,0.292316,0.419003,0.419003,0.422897,0.422897,0.407321,0.407321,0.416407,0.416407,0.420561,0.420561,0.447040,0.447040,0.443146,0.443146,0.436916,0.436916,0.436916,0.436916,0.440810,0.440810,0.450156,0.450156,0.442627,0.442627
LGAI-EXAONE__EXAONE-4.0-32B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.645639,0.662773,0.633178,0.653427,0.638629,0.652648,0.639148,0.656282,0.696262,0.720405,0.709502,0.728193,0.692368,0.711059,0.699377,0.719886,0.788941,0.803738,0.791277,0.804517,0.785047,0.803738,0.788422,0.803998,0.813863,0.828660,0.821651,0.833333,0.817757,0.830218,0.817757,0.830737,0.879283,0.879283,0.848910,0.848910,0.880062,0.880062,0.869418,0.869418,0.890187,0.890187,0.847352,0.847352,0.901869,0.901869,0.879803,0.879803,0.922897,0.922897,0.899533,0.899533,0.908100,0.908100,0.910177,0.910177,0.912773,0.912773,0.923676,0.923676,0.927570,0.927570,0.921340,0.921340
LGAI-EXAONE__EXAONE-Deep-2.4B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.520249,0.579439,0.510125,0.573209,0.502336,0.574766,0.510903,0.575805,0.573209,0.645639,0.582555,0.642523,0.588006,0.644860,0.581256,0.644341,0.690031,0.741433,0.674455,0.728972,0.675234,0.732087,0.679907,0.734164,0.752336,0.799844,0.756231,0.802960,0.750779,0.790498,0.753115,0.797767,0.428349,0.428349,0.424455,0.424455,0.424455,0.424455,0.425753,0.425753,0.429128,0.429128,0.441589,0.441589,0.432243,0.432243,0.434320,0.434320,0.458723,0.458723,0.470405,0.470405,0.475857,0.475857,0.468328,0.468328,0.458723,0.458723,0.480530,0.480530,0.461838,0.461838,0.467030,0.467030
LGAI-EXAONE__EXAONE-Deep-32B,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.681464,0.696262,0.682243,0.699377,0.677570,0.689252,0.680426,0.694964,0.711059,0.733645,0.710280,0.729751,0.697040,0.716511,0.706127,0.726636,0.764019,0.783489,0.771807,0.787383,0.770249,0.791277,0.768692,0.787383,0.813084,0.827103,0.810748,0.820093,0.815421,0.824766,0.813084,0.823988,0.760903,0.760903,0.750779,0.750779,0.753894,0.753894,0.755192,0.755192,0.767134,0.767134,0.771807,0.771807,0.759346,0.759346,0.766096,0.766096,0.803738,0.803738,0.819315,0.819315,0.809969,0.809969,0.811007,0.811007,0.834112,0.834112,0.841900,0.841900,0.850467,0.850467,0.842160,0.842160
