,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,winogrande,winogrande
,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm
model,,,,,,,,,,,,
K-intelligence__Midm-2.0-Base-Instruct,0.581058,0.621160,0.861532,0.847222,0.610137,0.804322,0.500779,0.538941,0.610592,0.610592,0.735596,
K-intelligence__Midm-2.0-Mini-Instruct,0.464164,0.499147,0.781987,0.789141,0.524796,0.703545,0.554517,0.591900,0.605140,0.605140,0.662983,
LGAI-EXAONE__EXAONE-4.0-1.2B,0.210751,0.247440,0.333333,0.326178,0.287692,0.311492,0.320872,0.372274,0.206386,0.206386,0.498816,
LGAI-EXAONE__EXAONE-4.0-32B,0.546075,0.569966,0.821549,0.798401,0.561840,0.743278,0.488318,0.502336,0.744548,0.744548,0.685872,
LGAI-EXAONE__EXAONE-Deep-2.4B,0.355802,0.376280,0.600168,0.542088,0.424517,0.553575,0.365265,0.427570,0.245327,0.245327,0.553275,
LGAI-EXAONE__EXAONE-Deep-32B,0.459898,0.483788,0.730219,0.713384,0.527883,0.703744,0.531153,0.550623,0.676791,0.676791,0.658248,
LGAI-EXAONE__EXAONE-Deep-7.8B,0.412116,0.440273,0.677189,0.641414,0.477295,0.635033,0.619159,0.640966,0.259346,0.259346,0.580110,
Qwen__Qwen3-0.6B-Base,0.331911,0.382253,0.654040,0.582071,0.410376,0.537741,0.396417,0.425234,0.402648,0.402648,0.588792,
Qwen__Qwen3-1.7B,0.395904,0.429181,0.723064,0.697391,0.461462,0.603565,0.524143,0.555296,0.727414,0.727414,0.611681,
Qwen__Qwen3-1.7B-Base,0.410410,0.447099,0.731481,0.680976,0.492930,0.664907,0.612928,0.648754,0.651090,0.651090,0.636148,
Qwen__Qwen3-14B,0.587031,0.604096,0.841330,0.829966,0.609341,0.788986,0.443925,0.461059,0.885514,0.885514,0.729282,
Qwen__Qwen3-14B-Base,0.557167,0.587031,0.835017,0.818182,0.618104,0.813483,0.607477,0.633956,0.858255,0.858255,0.745856,
Qwen__Qwen3-32B,0.207338,0.258532,0.245791,0.247896,0.253933,0.263991,0.000000,0.000000,0.000000,0.000000,0.495659,
Qwen__Qwen3-4B,0.507679,0.538396,0.806397,0.783249,0.522207,0.684226,0.462617,0.487539,0.834112,0.834112,0.656669,
Qwen__Qwen3-4B-Base,0.479522,0.514505,0.792929,0.760943,0.544314,0.736507,0.647196,0.672118,0.807632,0.807632,0.704815,
Qwen__Qwen3-8B,0.552048,0.566553,0.835438,0.808502,0.571500,0.749353,0.467290,0.485981,0.766355,0.766355,0.681926,
Qwen__Qwen3-8B-Base,0.526451,0.567406,0.819444,0.802189,0.588528,0.785800,0.588006,0.612928,0.853583,0.853583,0.726914,
kakaocorp__kanana-1.5-2.1b-base,0.475256,0.509386,0.776936,0.781987,0.496515,0.660924,0.467290,0.493769,0.490654,0.490654,0.647987,
kakaocorp__kanana-1.5-2.1b-instruct-2505,0.472696,0.502560,0.775673,0.738636,0.508664,0.668691,0.618380,0.647196,0.616822,0.616822,0.627466,
kakaocorp__kanana-1.5-8b-base,0.514505,0.543515,0.806818,0.813131,0.584943,0.774149,0.437695,0.458723,0.478972,0.478972,0.730071,
kakaocorp__kanana-1.5-8b-instruct-2505,0.207338,0.257679,0.245791,0.249158,0.254929,0.264390,0.045950,0.383178,0.261682,0.261682,0.495659,
meta-llama__Llama-3.1-70B,0.592150,0.614334,0.852273,0.816498,0.674866,0.857996,0.497664,0.524922,0.769470,0.769470,0.818469,
meta-llama__Llama-3.1-70B-Instruct,0.612628,0.627133,0.864057,0.835859,0.662219,0.853216,0.411215,0.429128,0.753115,0.753115,0.831886,
meta-llama__Llama-3.1-8B-Instruct,0.529863,0.543515,0.803872,0.776094,0.570305,0.796455,0.334891,0.344237,0.663551,0.663551,0.742699,
meta-llama__Llama-3.2-1B-Instruct,0.345563,0.377133,0.690236,0.639731,0.457578,0.616710,0.339564,0.350467,0.308411,0.308411,0.617206,
meta-llama__Llama-3.2-3B-Instruct,0.432594,0.462457,0.752946,0.712963,0.532862,0.716192,0.392523,0.424455,0.580218,0.580218,0.690608,
meta-llama__Llama-3.3-70B-Instruct,0.607509,0.626280,0.853535,0.825337,0.666202,0.851026,0.419782,0.436916,0.835670,0.835670,0.827940,
mistralai__Mistral-Nemo-Base-2407,0.566553,0.594710,0.832492,0.834596,0.632344,0.830412,0.507009,0.531153,0.601246,0.601246,0.765588,
mistralai__Mistral-Nemo-Instruct-2407,0.563140,0.595563,0.822811,0.806397,0.635132,0.825035,0.499221,0.533489,0.717290,0.717290,0.766377,
mistralai__Mistral-Small-24B-Base-2501,0.593857,0.627986,0.854377,0.846801,0.638419,0.834296,0.556075,0.588785,0.688474,0.688474,0.798737,
mistralai__Mistral-Small-24B-Instruct-2501,0.640785,0.661263,0.873737,0.873316,0.633937,0.834097,0.542835,0.572430,0.784268,0.784268,0.797948,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-0.5B,0.353242,0.372867,0.696970,0.652778,0.410874,0.521111,0.342679,0.365265,0.574766,0.574766,0.550118,
naver-hyperclovax__HyperCLOVAX-SEED-Text-Instruct-1.5B,0.391638,0.441126,0.693182,0.660354,0.464350,0.608445,0.383178,0.410436,0.598910,0.598910,0.567482,
naver-hyperclovax__HyperCLOVAX-SEED-Think-14B,0.526451,0.546928,0.793771,0.748737,0.601872,0.793667,0.452492,0.471963,0.749221,0.749221,0.711918,
skt__A.X-4.0,0.650171,0.672355,0.875421,0.861111,0.675463,0.861083,0.783489,0.796729,0.949377,0.949377,0.803473,
skt__A.X-4.0-Light,0.544369,0.557167,0.805556,0.745370,0.596793,0.770464,0.665109,0.683801,0.879283,0.879283,0.714286,
skt__ko-gpt-trinity-1.2B-v0.5,0.170648,0.204778,0.314394,0.308502,0.275443,0.290679,0.308411,0.321651,0.257788,0.257788,0.509077,
upstage__SOLAR-10.7B-Instruct-v1.0,0.604949,0.622867,0.834596,0.811869,0.687512,0.865764,0.585670,0.612928,0.535826,0.535826,0.751381,
upstage__SOLAR-10.7B-v1.0,0.511945,0.553754,0.807239,0.780303,0.639614,0.830811,0.400312,0.413551,0.464953,0.464953,0.746646,
