,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,winogrande,winogrande
,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm
model,,,,,,,,,,,,,,,,,,,,
K-intelligence__Midm-2.0-Base-Instruct-seed1200-lr3e-05__epoch0,0.575939,0.622014,0.863215,0.845960,0.609440,0.803724,0.617696,0.617696,0.738608,0.738608,0.748442,0.774922,0.619938,0.619938,0.000000,0.000000,0.771368,0.519231,0.732439,
K-intelligence__Midm-2.0-Base-Instruct-seed1200-lr3e-05__epoch1,0.576792,0.622014,0.861953,0.848906,0.610137,0.804123,0.617137,0.617137,0.734694,0.734694,0.820093,0.838785,0.655763,0.655763,0.000000,0.000000,0.774217,0.519231,0.736385,
K-intelligence__Midm-2.0-Base-Instruct-seed1200-lr3e-05__epoch2,0.584471,0.626280,0.861953,0.845960,0.610038,0.804720,0.616858,0.616858,0.734834,0.734834,0.830997,0.847352,0.666667,0.666667,0.000000,0.000000,0.776353,0.519231,0.735596,
K-intelligence__Midm-2.0-Mini-Instruct-seed1200-lr3e-05__epoch0,0.467577,0.501706,0.789141,0.792088,0.524198,0.703545,0.636287,0.636287,0.644115,0.644115,0.752336,0.773364,0.602025,0.602025,0.000000,0.000000,0.643162,0.519231,0.666930,
K-intelligence__Midm-2.0-Mini-Instruct-seed1200-lr3e-05__epoch1,0.465017,0.500853,0.786616,0.792929,0.524099,0.702948,0.638803,0.638803,0.644954,0.644954,0.891745,0.909657,0.665109,0.665109,0.000000,0.000000,0.586182,0.519231,0.665351,
K-intelligence__Midm-2.0-Mini-Instruct-seed1200-lr3e-05__epoch2,0.468430,0.501706,0.787037,0.792929,0.524696,0.702748,0.643137,0.643137,0.644954,0.644954,0.897975,0.910436,0.669003,0.669003,0.000000,0.000000,0.589744,0.519231,0.666930,
LGAI-EXAONE__EXAONE-4.0-1.2B-seed1200-lr3e-05__epoch0,0.210751,0.248294,0.351010,0.329545,0.289484,0.317367,0.507129,0.507129,0.495946,0.495946,0.355919,0.374611,0.277259,0.277259,0.000000,0.000000,0.486467,0.519231,0.494870,
LGAI-EXAONE__EXAONE-4.0-1.2B-seed1200-lr3e-05__epoch1,0.210751,0.242321,0.348064,0.331229,0.291775,0.322944,0.509365,0.509365,0.496645,0.496645,0.623053,0.650312,0.309190,0.309190,0.000000,0.000000,0.484330,0.519231,0.498816,
LGAI-EXAONE__EXAONE-4.0-1.2B-seed1200-lr3e-05__epoch2,0.211604,0.237201,0.351010,0.332492,0.293169,0.322247,0.509086,0.509086,0.499161,0.499161,0.641745,0.674455,0.316978,0.316978,0.000000,0.000000,0.492165,0.519231,0.492502,
Qwen__Qwen3-0.6B-Base-seed1200-lr3e-05__epoch0,0.339590,0.381399,0.659091,0.594276,0.409679,0.536248,0.572966,0.572966,0.540956,0.540956,0.672118,0.691589,0.577882,0.577882,0.000000,0.000000,0.492165,0.519231,0.589582,
Qwen__Qwen3-0.6B-Base-seed1200-lr3e-05__epoch1,0.337031,0.385666,0.664983,0.599327,0.410775,0.537144,0.573665,0.573665,0.539419,0.539419,0.763240,0.777259,0.590343,0.590343,0.000000,0.000000,0.514245,0.519231,0.586425,
Qwen__Qwen3-0.6B-Base-seed1200-lr3e-05__epoch2,0.345563,0.378840,0.657828,0.599327,0.411073,0.535849,0.575063,0.575063,0.539838,0.539838,0.764798,0.779595,0.589564,0.589564,0.000000,0.000000,0.512821,0.519231,0.588003,
Qwen__Qwen3-1.7B-Base-seed1200-lr3e-05__epoch0,0.418942,0.451365,0.737374,0.691498,0.492332,0.665206,0.554655,0.554655,0.619933,0.619933,0.748442,0.783489,0.659657,0.659657,0.000000,0.000000,0.488604,0.519231,0.645620,
Qwen__Qwen3-1.7B-Base-seed1200-lr3e-05__epoch1,0.421502,0.453925,0.744949,0.702862,0.492332,0.663912,0.556332,0.556332,0.621331,0.621331,0.835670,0.852025,0.662773,0.662773,0.000000,0.000000,0.482906,0.519231,0.644041,
Qwen__Qwen3-1.7B-Base-seed1200-lr3e-05__epoch2,0.423208,0.456485,0.745370,0.702441,0.492631,0.664907,0.557870,0.557870,0.621750,0.621750,0.839564,0.859813,0.659657,0.659657,0.000000,0.000000,0.487892,0.519231,0.647987,
Qwen__Qwen3-1.7B-seed1200-lr3e-05__epoch0,0.402730,0.418942,0.726010,0.696970,0.461462,0.604063,0.576321,0.576321,0.610568,0.610568,0.686137,0.714174,0.780374,0.780374,0.000000,0.000000,0.490741,0.519231,0.614838,
Qwen__Qwen3-1.7B-seed1200-lr3e-05__epoch1,0.396758,0.419795,0.725589,0.697811,0.461163,0.606055,0.578557,0.578557,0.607772,0.607772,0.723520,0.745327,0.778816,0.778816,0.000000,0.000000,0.482194,0.519231,0.617995,
Qwen__Qwen3-1.7B-seed1200-lr3e-05__epoch2,0.397611,0.415529,0.722643,0.694024,0.461561,0.606154,0.577859,0.577859,0.607353,0.607353,0.726636,0.747664,0.781931,0.781931,0.000000,0.000000,0.483618,0.519231,0.612470,
Qwen__Qwen3-4B-Base-seed1200-lr3e-05__epoch0,0.484642,0.524744,0.794613,0.768939,0.544513,0.737104,0.702544,0.702544,0.688566,0.688566,0.829439,0.841121,0.859034,0.859034,0.000000,0.000000,0.492877,0.519231,0.705604,
Qwen__Qwen3-4B-Base-seed1200-lr3e-05__epoch1,0.491468,0.529010,0.794192,0.768939,0.544812,0.736606,0.702684,0.702684,0.689125,0.689125,0.873053,0.889408,0.869938,0.869938,0.000000,0.000000,0.505698,0.519231,0.703236,
Qwen__Qwen3-4B-Base-seed1200-lr3e-05__epoch2,0.488908,0.523891,0.795455,0.771886,0.545509,0.736108,0.704641,0.704641,0.688566,0.688566,0.880841,0.892523,0.872274,0.872274,0.000000,0.000000,0.507835,0.519231,0.708761,
Qwen__Qwen3-4B-seed1200-lr3e-05__epoch0,0.506826,0.538396,0.806397,0.787879,0.523103,0.685122,0.606374,0.606374,0.660190,0.660190,0.705607,0.725078,0.844237,0.844237,0.000000,0.000000,0.480769,0.519231,0.659037,
Qwen__Qwen3-4B-seed1200-lr3e-05__epoch1,0.509386,0.539249,0.808923,0.784933,0.522107,0.687114,0.611826,0.611826,0.661588,0.661588,0.771807,0.792835,0.868380,0.868380,0.000000,0.000000,0.480057,0.519231,0.662983,
Qwen__Qwen3-4B-seed1200-lr3e-05__epoch2,0.511945,0.540102,0.807239,0.788721,0.521510,0.685521,0.612105,0.612105,0.660889,0.660889,0.774922,0.793614,0.869159,0.869159,0.000000,0.000000,0.479345,0.519231,0.664562,
Qwen__Qwen3-8B-Base-seed1200-lr3e-05__epoch0,0.534130,0.572526,0.819444,0.801768,0.588329,0.786795,0.737210,0.737210,0.724490,0.724490,0.805296,0.832555,0.896417,0.896417,0.000000,0.000000,0.482194,0.519231,0.722178,
Qwen__Qwen3-8B-Base-seed1200-lr3e-05__epoch1,0.534130,0.573379,0.822391,0.804293,0.589424,0.785800,0.739586,0.739586,0.726447,0.726447,0.878505,0.898754,0.911215,0.911215,0.000000,0.000000,0.480057,0.519231,0.724546,
Qwen__Qwen3-8B-Base-seed1200-lr3e-05__epoch2,0.530717,0.572526,0.821970,0.804293,0.590121,0.787293,0.740006,0.740006,0.726027,0.726027,0.885514,0.898754,0.911994,0.911994,0.000000,0.000000,0.477920,0.519231,0.723757,
Qwen__Qwen3-8B-seed1200-lr3e-05__epoch0,0.555461,0.566553,0.835017,0.806397,0.572097,0.749851,0.689544,0.689544,0.707716,0.707716,0.698598,0.723520,0.795950,0.795950,0.000000,0.000000,0.489316,0.519231,0.677979,
Qwen__Qwen3-8B-seed1200-lr3e-05__epoch1,0.547782,0.562287,0.834596,0.805135,0.571002,0.750946,0.692899,0.692899,0.708275,0.708275,0.851246,0.867601,0.870717,0.870717,0.000000,0.000000,0.487892,0.519231,0.675612,
Qwen__Qwen3-8B-seed1200-lr3e-05__epoch2,0.551195,0.559727,0.834596,0.809343,0.570106,0.750747,0.695275,0.695275,0.708275,0.708275,0.856698,0.873053,0.870717,0.870717,0.000000,0.000000,0.488604,0.519231,0.679558,
kakaocorp__kanana-1.5-2.1b-base-seed1200-lr3e-05__epoch0,0.459044,0.500000,0.770623,0.774832,0.496614,0.659630,0.572966,0.572966,0.627621,0.627621,0.821651,0.840343,0.582555,0.582555,0.000000,0.000000,0.493590,0.519231,0.648777,
kakaocorp__kanana-1.5-2.1b-base-seed1200-lr3e-05__epoch1,0.459044,0.494027,0.764731,0.775253,0.497112,0.661123,0.567375,0.567375,0.624685,0.624685,0.908100,0.922897,0.619938,0.619938,0.000000,0.000000,0.495726,0.519231,0.647987,
kakaocorp__kanana-1.5-2.1b-base-seed1200-lr3e-05__epoch2,0.459898,0.500000,0.765572,0.769360,0.497909,0.660526,0.567654,0.567654,0.626642,0.626642,0.917445,0.926791,0.622274,0.622274,0.000000,0.000000,0.497863,0.519231,0.655880,
kakaocorp__kanana-1.5-2.1b-instruct-2505-seed1200-lr3e-05__epoch0,0.480375,0.502560,0.788300,0.755051,0.509460,0.671579,0.646771,0.646771,0.670115,0.670115,0.839564,0.852804,0.637850,0.637850,0.000000,0.000000,0.530627,0.519231,0.624309,
kakaocorp__kanana-1.5-2.1b-instruct-2505-seed1200-lr3e-05__epoch1,0.488908,0.505973,0.786195,0.761785,0.509162,0.671380,0.652223,0.652223,0.668857,0.668857,0.904206,0.911215,0.663551,0.663551,0.000000,0.000000,0.539174,0.519231,0.631413,
kakaocorp__kanana-1.5-2.1b-instruct-2505-seed1200-lr3e-05__epoch2,0.484642,0.510239,0.784933,0.762205,0.508962,0.670982,0.650266,0.650266,0.668717,0.668717,0.910436,0.921340,0.675234,0.675234,0.000000,0.000000,0.545584,0.519231,0.627466,
kakaocorp__kanana-1.5-8b-base-seed1200-lr3e-05__epoch0,0.526451,0.549488,0.810185,0.821549,0.585043,0.774348,0.641040,0.641040,0.647750,0.647750,0.820093,0.842679,0.561526,0.561526,0.000000,0.000000,0.512108,0.519231,0.733228,
kakaocorp__kanana-1.5-8b-base-seed1200-lr3e-05__epoch1,0.526451,0.551195,0.808923,0.824074,0.587333,0.774846,0.622449,0.622449,0.621471,0.621471,0.922118,0.931464,0.591900,0.591900,0.000000,0.000000,0.522080,0.519231,0.725335,
kakaocorp__kanana-1.5-8b-base-seed1200-lr3e-05__epoch2,0.526451,0.551195,0.810185,0.822811,0.587034,0.775244,0.619514,0.619514,0.619793,0.619793,0.933022,0.940810,0.602804,0.602804,0.000000,0.000000,0.517094,0.519231,0.726125,
meta-llama__Llama-3.1-8B-Instruct-seed1200-lr3e-05__epoch0,0.528157,0.546928,0.807660,0.774411,0.572097,0.797252,0.573386,0.573386,0.585826,0.585826,0.674455,0.703271,0.650312,0.650312,0.000000,0.000000,0.482906,0.519231,0.743489,
meta-llama__Llama-3.1-8B-Instruct-seed1200-lr3e-05__epoch1,0.534130,0.547782,0.811027,0.775673,0.573591,0.796953,0.580654,0.580654,0.592116,0.592116,0.879283,0.895639,0.735981,0.735981,0.000000,0.000000,0.480057,0.519231,0.740331,
