,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,kmmlu_pos_r,kmmlu_pos_r,ko_nubench_api,ko_nubench_api,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-easy,thunderllm-snu-ko-arc-easy,winogrande,winogrande
,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-intelligence__Midm-2.0-Base-Instruct-seed1200-lr3e-05__epoch2,0.584471,0.626280,0.861953,0.845960,0.610038,0.804720,0.616858,0.616858,0.734834,0.734834,0.000000,0.000000,0.000000,0.000000,0.830997,0.847352,0.666667,0.666667,0.920228,,0.776353,0.519231,0.584404,0.645244,0.816498,0.821128,0.735596,
K-intelligence__Midm-2.0-Mini-Instruct-seed1200-lr3e-05__epoch2,0.468430,0.501706,0.787037,0.792929,0.524696,0.702748,0.643137,0.643137,0.644954,0.644954,0.000000,0.000000,0.000000,0.000000,0.897975,0.910436,0.669003,0.669003,0.853276,,0.589744,0.519231,0.482434,0.547558,0.754630,0.761364,0.666930,
LGAI-EXAONE__EXAONE-4.0-1.2B-seed1200-lr3e-05__epoch2,0.211604,0.237201,0.351010,0.332492,0.293169,0.322247,0.509086,0.509086,0.499161,0.499161,0.000000,0.000000,0.000000,0.000000,0.641745,0.674455,0.316978,0.316978,0.567664,,0.492165,0.519231,0.244216,0.287061,0.402357,0.406566,0.492502,
LGAI-EXAONE__EXAONE-Deep-2.4B-seed1200-lr3e-05__epoch2,0.366894,0.382253,0.623316,0.568603,0.426011,0.557957,0.481968,0.481968,0.534107,0.534107,0.000000,0.000000,0.000000,0.000000,0.614486,0.677570,0.498442,0.498442,0.508547,,0.481481,0.519231,0.323051,0.374464,0.493266,0.501684,0.539858,
LGAI-EXAONE__EXAONE-Deep-7.8B-seed1200-lr3e-05__epoch2,0.415529,0.452218,0.689815,0.669192,0.482872,0.643398,0.493151,0.493151,0.561784,0.561784,0.000000,0.000000,0.000000,0.000000,0.799065,0.816978,0.602025,0.602025,0.716524,,0.509259,0.519231,0.000000,0.000000,0.000000,0.000000,0.574586,
Qwen__Qwen3-0.6B-Base-seed1200-lr3e-05__epoch2,0.345563,0.378840,0.657828,0.599327,0.411073,0.535849,0.575063,0.575063,0.539838,0.539838,0.000000,0.000000,0.000000,0.000000,0.764798,0.779595,0.589564,0.589564,0.525641,,0.512821,0.519231,0.000000,0.000000,0.000000,0.000000,0.588003,
Qwen__Qwen3-1.7B-Base-seed1200-lr3e-05__epoch2,0.423208,0.456485,0.745370,0.702441,0.492631,0.664907,0.557870,0.557870,0.621750,0.621750,0.000000,0.000000,0.000000,0.000000,0.839564,0.859813,0.659657,0.659657,0.638889,,0.487892,0.519231,0.000000,0.000000,0.000000,0.000000,0.647987,
Qwen__Qwen3-1.7B-seed1200-lr3e-05__epoch2,0.397611,0.415529,0.722643,0.694024,0.461561,0.606154,0.577859,0.577859,0.607353,0.607353,0.000000,0.000000,0.000000,0.000000,0.726636,0.747664,0.781931,0.781931,0.518519,,0.483618,0.519231,0.329049,0.393316,0.523148,0.526936,0.612470,
