,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,kmmlu_pos_r,kmmlu_pos_r,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-easy,thunderllm-snu-ko-arc-easy,winogrande,winogrande
,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm
model,,,,,,,,,,,,,,,,,,,,,,,,,,
K-intelligence__Midm-2.0-Base-Instruct-seed1200-lr3e-05__epoch0,0.579352,0.616894,0.862374,0.847222,0.609440,0.804023,0.618535,0.618535,0.738328,0.738328,0.000000,0.000000,0.602804,0.646417,0.660436,0.660436,0.920228,,0.770655,0.519231,0.587832,0.643530,0.813552,0.821970,0.734807,
K-intelligence__Midm-2.0-Base-Instruct-seed1200-lr3e-05__epoch1,0.575939,0.614334,0.864478,0.846380,0.608843,0.803525,0.616858,0.616858,0.738049,0.738049,0.000000,0.000000,0.632399,0.665888,0.778037,0.778037,0.920228,,0.770655,0.519231,0.591260,0.640103,0.816077,0.820286,0.734017,
K-intelligence__Midm-2.0-Base-Instruct-seed1200-lr3e-05__epoch2,0.578498,0.617747,0.862374,0.848906,0.608843,0.804421,0.616578,0.616578,0.737070,0.737070,0.000000,0.000000,0.636293,0.670561,0.795950,0.795950,0.922365,,0.772792,0.519231,0.590403,0.639246,0.817761,0.822391,0.737964,
K-intelligence__Midm-2.0-Mini-Instruct-seed1200-lr3e-05__epoch0,0.468430,0.509386,0.789562,0.793350,0.524099,0.704143,0.651943,0.651943,0.652083,0.652083,0.000000,0.000000,0.603583,0.637850,0.794393,0.794393,0.873932,,0.680199,0.519231,0.491859,0.553556,0.759259,0.765572,0.674822,
K-intelligence__Midm-2.0-Mini-Instruct-seed1200-lr3e-05__epoch1,0.474403,0.510239,0.791667,0.792508,0.524796,0.703943,0.660050,0.660050,0.652921,0.652921,0.000000,0.000000,0.653427,0.697819,0.915109,0.915109,0.880342,,0.670940,0.519231,0.494430,0.556984,0.759680,0.765572,0.670087,
K-intelligence__Midm-2.0-Mini-Instruct-seed1200-lr3e-05__epoch2,0.467577,0.507679,0.792088,0.793771,0.524696,0.703446,0.660470,0.660470,0.651803,0.651803,0.000000,0.000000,0.659657,0.700156,0.926012,0.926012,0.876781,,0.672365,0.519231,0.495287,0.560411,0.759680,0.765152,0.670876,
LGAI-EXAONE__EXAONE-4.0-1.2B-seed1200-lr3e-05__epoch0,0.209898,0.255119,0.348064,0.329966,0.290181,0.317267,0.507548,0.507548,0.506849,0.506849,0.000000,0.000000,0.304517,0.325545,0.488318,0.488318,0.518519,,0.487179,0.519231,0.227935,0.275064,0.382155,0.393519,0.499605,
LGAI-EXAONE__EXAONE-4.0-1.2B-seed1200-lr3e-05__epoch1,0.213311,0.248294,0.347222,0.328283,0.292272,0.319857,0.513838,0.513838,0.501817,0.501817,0.000000,0.000000,0.320093,0.338006,0.819315,0.819315,0.514245,,0.474359,0.519231,0.235647,0.278492,0.396465,0.405303,0.494081,
