,arc_challenge,arc_challenge,arc_easy,arc_easy,hellaswag,hellaswag,kmmlu_neg,kmmlu_neg,kmmlu_pos,kmmlu_pos,kmmlu_pos_r,kmmlu_pos_r,ko_nubench_api,ko_nubench_api,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,kobest_boolq,kobest_boolq,kobest_boolq_neg,kobest_boolq_neg,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-challenge,thunderllm-snu-ko-arc-easy,thunderllm-snu-ko-arc-easy,winogrande,winogrande
,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-intelligence__Midm-2.0-Base-Instruct-seed1200-lr3e-05__epoch2,0.578498,0.617747,0.862374,0.848906,0.608843,0.804421,0.616578,0.616578,0.737070,0.737070,0.000000,0.000000,0.000000,0.000000,0.636293,0.670561,0.795950,0.795950,0.922365,,0.772792,0.519231,0.590403,0.639246,0.817761,0.822391,0.737964,
K-intelligence__Midm-2.0-Mini-Instruct-seed1200-lr3e-05__epoch2,0.467577,0.507679,0.792088,0.793771,0.524696,0.703446,0.660470,0.660470,0.651803,0.651803,0.000000,0.000000,0.000000,0.000000,0.659657,0.700156,0.926012,0.926012,0.876781,,0.672365,0.519231,0.495287,0.560411,0.759680,0.765152,0.670876,
LGAI-EXAONE__EXAONE-4.0-1.2B-seed1200-lr3e-05__epoch2,0.213311,0.248294,0.346801,0.332071,0.293368,0.321052,0.514537,0.514537,0.503075,0.503075,0.000000,0.000000,0.000000,0.000000,0.327103,0.339564,0.849688,0.849688,0.513533,,0.480769,0.519231,0.233076,0.281919,0.400253,0.407828,0.492502,
LGAI-EXAONE__EXAONE-Deep-2.4B-seed1200-lr3e-05__epoch2,0.363481,0.375427,0.619949,0.563131,0.425314,0.556762,0.486441,0.486441,0.536064,0.536064,0.000000,0.000000,0.000000,0.000000,0.392523,0.445483,0.602025,0.602025,0.506410,,0.480769,0.519231,0.310197,0.370180,0.494529,0.503788,0.544594,
LGAI-EXAONE__EXAONE-Deep-7.8B-seed1200-lr3e-05__epoch2,0.406997,0.447952,0.677189,0.651515,0.480681,0.635630,0.487699,0.487699,0.564160,0.564160,0.000000,0.000000,0.000000,0.000000,0.625389,0.644081,0.932243,0.932243,0.719373,,0.498575,0.519231,0.444730,0.497001,0.660774,0.667929,0.573007,
Qwen__Qwen3-0.6B-Base-seed1200-lr3e-05__epoch2,0.341297,0.384812,0.662037,0.610269,0.412966,0.536746,0.573805,0.573805,0.543612,0.543612,0.000000,0.000000,0.000000,0.000000,0.425234,0.457944,0.854361,0.854361,0.525641,,0.492165,0.519231,0.000000,0.000000,0.000000,0.000000,0.580900,
Qwen__Qwen3-1.7B-Base-seed1200-lr3e-05__epoch2,0.428328,0.454778,0.744108,0.701599,0.492930,0.665804,0.542354,0.542354,0.617836,0.617836,0.000000,0.000000,0.000000,0.000000,0.647196,0.690031,0.874611,0.874611,0.647436,,0.486467,0.519231,0.357326,0.410454,0.538300,0.562710,0.647987,
Qwen__Qwen3-1.7B-seed1200-lr3e-05__epoch2,0.394198,0.430034,0.720960,0.693182,0.460366,0.602171,0.571289,0.571289,0.599385,0.599385,0.000000,0.000000,0.000000,0.000000,0.536604,0.556854,0.893302,0.893302,0.509972,,0.480769,0.519231,0.000000,0.000000,0.000000,0.000000,0.616417,
