,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_cloze,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol,ko_nubench_symbol
,1shot,1shot,1shot,1shot,1shot,1shot,1shot,1shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot,1shot,1shot,1shot,1shot,1shot,1shot,1shot,1shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,2shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,5shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot,10shot
,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average,1234,1234,308,308,1028,1028,average,average
,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm,acc,acc_norm
model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K-intelligence__Midm-2.0-Base-Instruct,0.676791,0.709502,0.674455,0.707165,0.000000,0.000000,0.450415,0.472222,0.000000,0.000000,0.717290,0.737539,0.734424,0.762461,0.483904,0.500000,0.799065,0.826324,0.788162,0.812305,0.000000,0.000000,0.529076,0.546210,0.845794,0.866044,0.837227,0.856698,0.848131,0.866822,0.843718,0.863188,0.629283,0.629283,0.618380,0.618380,0.000000,0.000000,0.415888,0.415888,0.000000,0.000000,0.675234,0.675234,0.658100,0.658100,0.444444,0.444444,0.718069,0.718069,0.713396,0.713396,0.000000,0.000000,0.477155,0.477155,0.718847,0.718847,0.709502,0.709502,0.710280,0.710280,0.712876,0.712876
K-intelligence__Midm-2.0-Mini-Instruct,0.718069,0.742991,0.000000,0.000000,0.000000,0.000000,0.239356,0.247664,0.777259,0.796729,0.752336,0.781153,0.753115,0.778816,0.760903,0.785566,0.000000,0.000000,0.818536,0.836449,0.820093,0.845016,0.546210,0.560488,0.841900,0.857477,0.834891,0.855919,0.838006,0.855140,0.838266,0.856179,0.567757,0.567757,0.000000,0.000000,0.000000,0.000000,0.189252,0.189252,0.571651,0.571651,0.593458,0.593458,0.584112,0.584112,0.583074,0.583074,0.000000,0.000000,0.488318,0.488318,0.480530,0.480530,0.322949,0.322949,0.351246,0.351246,0.338006,0.338006,0.328660,0.328660,0.339304,0.339304
LGAI-EXAONE__EXAONE-4.0-1.2B,0.409657,0.470405,0.376947,0.448598,0.397975,0.469626,0.394860,0.462876,0.441589,0.481308,0.432243,0.496885,0.426012,0.496885,0.433281,0.491693,0.523364,0.573988,0.520249,0.580997,0.509346,0.574766,0.517653,0.576584,0.599688,0.646417,0.588006,0.632399,0.576324,0.627726,0.588006,0.635514,0.228972,0.228972,0.245327,0.245327,0.259346,0.259346,0.244548,0.244548,0.197819,0.197819,0.227414,0.227414,0.202492,0.202492,0.209242,0.209242,0.124611,0.124611,0.149533,0.149533,0.143302,0.143302,0.139148,0.139148,0.125389,0.125389,0.111371,0.111371,0.130841,0.130841,0.122534,0.122534
LGAI-EXAONE__EXAONE-Deep-2.4B,0.501558,0.564642,0.000000,0.000000,0.000000,0.000000,0.167186,0.188214,0.528816,0.573209,0.000000,0.000000,0.545950,0.588785,0.358255,0.387331,0.607477,0.675234,0.598910,0.646417,0.601246,0.655763,0.602544,0.659138,0.673676,0.730530,0.687695,0.749221,0.682243,0.721184,0.681205,0.733645,0.143302,0.143302,0.000000,0.000000,0.000000,0.000000,0.047767,0.047767,0.112150,0.112150,0.000000,0.000000,0.123832,0.123832,0.078660,0.078660,0.109034,0.109034,0.130062,0.130062,0.121495,0.121495,0.120197,0.120197,0.105140,0.105140,0.120717,0.120717,0.114486,0.114486,0.113448,0.113448
LGAI-EXAONE__EXAONE-Deep-7.8B,0.650312,0.672118,0.642523,0.660436,0.626168,0.649533,0.639668,0.660696,0.658100,0.686137,0.666667,0.686916,0.681464,0.704050,0.668744,0.692368,0.727414,0.748442,0.000000,0.000000,0.718847,0.744548,0.482087,0.497664,0.758567,0.783489,0.757009,0.774922,0.774143,0.789720,0.763240,0.782710,0.194704,0.194704,0.197819,0.197819,0.204050,0.204050,0.198858,0.198858,0.204829,0.204829,0.200156,0.200156,0.214953,0.214953,0.206646,0.206646,0.229751,0.229751,0.000000,0.000000,0.242212,0.242212,0.157321,0.157321,0.359034,0.359034,0.371495,0.371495,0.346573,0.346573,0.359034,0.359034
Qwen__Qwen3-0.6B-Base,0.000000,0.000000,0.581776,0.611371,0.577882,0.604361,0.386552,0.405244,0.000000,0.000000,0.630841,0.668224,0.637850,0.669003,0.422897,0.445742,0.689252,0.718069,0.697040,0.723520,0.697819,0.728193,0.694704,0.723261,0.747664,0.764798,0.000000,0.000000,0.728972,0.749221,0.492212,0.504673,0.000000,0.000000,0.171340,0.171340,0.166667,0.166667,0.112669,0.112669,0.000000,0.000000,0.097352,0.097352,0.100467,0.100467,0.065940,0.065940,0.067757,0.067757,0.072430,0.072430,0.071651,0.071651,0.070613,0.070613,0.084112,0.084112,0.000000,0.000000,0.088006,0.088006,0.057373,0.057373
